country,city,lat,lon
US,Ossining,41.1613168,-73.8620367
US,Palmyra,5.882204,-162.0748745
US,Paragould,36.0584021,-90.4973286
TR,Istanbul,41.006381,28.9758715
TR,Ankara,39.9207759,32.8540497
TR,B,36.9543899,36.1959127
TR,A,41.0726456,28.9750036
US,C,42.9382986,-87.9934462
ZA,Limpopo,-23.4735288,29.3959199
ZA,North West,-26.1347819,25.6546729
ZA,Mpumalanga,-26.276849,30.1500153
ZA,Free State,-28.7853618,26.4978933
ZA,Doğu Kap,-32.2171831,26.6386401
ZA,Kuzey Kap,-29.573402,21.2051361
ZA,KwaZulu-Natal,-28.503833,30.8875009
ZA,Gauteng,-25.9363439,28.0813105
ZA,Western Cape,-33.546977,20.72753
TR,Iğdır,39.8945292,43.9427459
TR,Malatya,38.4820156,38.1035355
US,Aberdeen,45.4649805,-98.487813
US,Moses Lake,47.1301417,-119.278077
US,Mount Olive,40.8462043,-74.7432456
US,Murray,34.7851861,-84.7352262
US,Nacogdoches,31.5970503,-94.5927451
US,Naugatuck,41.4907561,-73.0556562
US,Needham,42.2802645,-71.2360624
US,New Albany,38.2856247,-85.8241312
BR,Rondônia,-10.943145,-62.8277863
BR,Tocantins,-10.8855129,-48.3716912
BR,Paraná,-24.4842187,-51.8148872
BR,Acre,-9.0478679,-70.5264976
BR,Alagoas,-9.6611661,-36.6502426
BR,Mato Grosso,-12.2115009,-55.5716547
BR,Santa Catarina,-27.0628367,-51.114965
BR,Mato Grosso do Sul,-19.5852564,-54.4794731
BR,Piauí,-7.6992782,-42.5043787
BR,Pernambuco,-8.4116316,-37.5919699
IR,İlam Eyaleti,33.1545696,46.7576343
IR,Kermanşah,34.3789744,46.7010122
IR,Doğu Azerbaycan Eyaleti,37.9160365,46.6781589
TR,Edirne,41.6759327,26.5587225
SY,Rif Şam,33.5194958,37.0760724
SY,Damascus Governorate,33.5155238,36.2737518
SY,İdlip,35.8702332,36.5481802
SY,Halep,36.19924,37.1637253
SY,Tartus,34.8936225,35.885167
SY,Hums,34.7333334,36.7166667
SY,Ladikiye,,
SY,Hama,35.1343368,36.7496276
SY,Dara,32.6227776,36.1067639
SY,Ar-Raqqah Governorate,36.0604212,38.8547128
BR,Goiás,-15.9323662,-50.1392928
IQ,Mutenna,,
IQ,Erbil,36.1911744,44.0094145
BD,Barisal Bölümü,,
BD,Dakka,23.7643863,90.3890144
BD,Sylhet Division,24.7358854,91.6852476
BD,Rangpur Division,25.6376135,89.0826381
BD,Rajshahi Division,24.6285432,89.0376862
BR,Amazonas,-1.4378875,-52.3830054
BD,Khulna Division,22.9372087,89.2852741
BD,Chittagong Division,22.6800466,91.8839938
IN,Arunaçal Pradeş,28.0937702,94.5921326
IN,Manipur,24.7208818,93.9229386
IN,Nagaland,26.1630556,94.5884911
IN,Chhattisgarh,21.6637359,81.8406351
IN,Andaman ve Nicobar Adaları,,
IN,Orissa,20.5431241,84.6897321
IN,Mizoram,23.2146169,92.8687612
IN,Megalaya,25.5379432,91.2999102
IN,Jarkand,23.4559809,85.2557301
IN,Maharaştra,19.5670323,76.4164557
SA,Hail,,
EG,Şarm el Sina,,
CN,Guangdong,,
NG,Gombe Eyaleti,,
ID,Doğu Nusa Tenggara,,
RU,Udmurtya,,
CO,Santander,,
VN,Dien Bien,,
KR,Seul,,
PH,Eastern Visayas,,
JP,Miyazaki Prefecture,,
SA,Necran,,
VN,Phu Tho Province,,
VN,Bắc Kạn Province,,
VN,Lao Cai,,
KR,Gwangju,,
JP,Kagoşima ili,,
VN,Binh Phuoc,,
VN,Ha Giang,,
VN,Cao Bằng ili,,
VN,Tuyên Quang Province,,
PH,Cagayan Valley,,
TH,Phuket,,
NG,Ebonyi Eyaleti,,
CN,Pekin,,
KR,Jeollanam-do,,
NG,Nijer,,
NG,Yobe Eyaleti,,
RU,Penza Oblastı,,
CO,Huila,,
VN,Dak Nong,,
VN,Kuang Tri,,
JP,Tottori Prefecture,,
PH,Zamboanga Yarımadası,,
RU,Orenburg Oblastı,,
PH,Northern Mindanao,,
JP,Şimane,,
JP,Iwate,,
PH,Caraga,,
SA,Asir Bölgesi,,
RU,Çuvaşistan,,
RU,Stavropol Krayı,,
CO,Cundinamarca,,
PH,MIMAROPA,,
EG,Şarkiye,,
PH,Cordillera İdari Bölgesi,,
KR,Daegu,,
PH,Bicol,,
CO,Quindío,,
SA,Kasım,,
SA,Şarkiye,,
PH,Davao Region,,
PH,Region XII,,
CO,Cauca,,
SA,Riyad Bölgesi,,
KR,Daejeon,,
JP,Toçigi,,
CO,Boyacá,,
CO,Nariño,,
RU,Tümen Oblastı,,
RU,Astrahan Oblastı,,
RU,Belgorod Oblastı,,
RU,Kirov Oblastı,,
RU,Omsk Oblastı,,
AR,Entre Ríos eyaleti,,
AR,Catamarca eyaleti,,
AR,Jujuy eyaleti,,
AR,San Juan eyaleti,,
AR,Salta eyaleti,,
AR,Córdoba eyaleti,,
AR,Mendoza eyaleti,,
AR,Santa Fe eyaleti,,
AR,Buenos Aires eyaleti,,
SA,Tebük Bölgesi,28.3251866,37.6328648
SA,Mekke,21.420847,39.826869
SA,Medine Bölgesi,25.1354363,39.162594
SA,Baha,20.2372671,41.4615479
NG,Borno Eyaleti,12.1875392,13.3080034
NG,Bauchi Eyaleti,10.6228284,10.0287754
NG,Sokoto Eyaleti,13.0611195,5.3152203
NG,Adamawa Eyaleti,9.5129772,12.3881887
NG,Enugu Eyaleti,6.5536094,7.4143061
NG,Akwa Ibom Eyaleti,4.990638,7.7966205
TR,Kırklareli,41.7078046,27.6051334
